Topic;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10
1;X;O;X;X;X;X;O;O;O;O
2;O;O;O;O;O;O;O;O;O;O
3;X;O;O;O;O;O;O;O;O;O
4;X;X;O;O;O;O;O;O;O;O
5;X;O;O;O;O;O;O;O;O;O
6;O;X;O;X;O;O;O;O;O;O
7;O;O;X;X;O;O;O;O;O;O
8;X;X;O;O;O;O;O;O;O;O
9;X;O;X;O;O;O;O;O;O;O
10;X;O;O;O;O;O;O;O;O;O
11;O;O;O;X;O;X;O;O;O;X
12;X;O;O;O;O;O;O;O;O;O
13;X;O;O;O;O;O;O;O;O;O
14;X;X;O;O;O;O;O;O;O;O
15;X;X;X;O;O;O;X;X;O;O
16;X;X;X;X;O;X;O;O;X;O
17;X;O;X;X;O;O;O;X;O;O
18;X;O;O;O;O;X;O;X;O;O
19;X;X;O;X;O;X;O;X;X;X
20;X;X;X;X;O;O;O;O;X;O
