Topic;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10
1;X;X;X;X;X;O;O;O;O;O
2;X;O;O;O;O;O;O;O;O;O
3;X;O;O;O;O;O;O;O;O;O
4;O;O;O;O;O;O;O;O;O;O
5;X;O;X;O;O;O;O;O;X;O
6;X;O;O;O;O;O;O;O;O;O
7;X;X;O;O;O;O;O;O;O;O
8;X;O;O;O;O;O;O;O;O;O
9;O;O;O;O;O;O;O;O;O;O
10;X;O;O;O;O;O;O;O;O;O
11;X;O;O;O;O;O;O;O;O;O
12;X;O;O;O;O;O;O;O;O;O
13;X;O;O;O;O;O;O;O;O;O
14;X;X;X;O;O;O;X;O;O;X
15;X;X;X;X;X;X;O;X;O;X
16;O;O;O;O;O;O;O;O;O;O
17;X;X;O;O;X;O;O;O;X;X
18;O;O;O;O;O;O;O;O;O;O
19;X;X;X;X;X;O;O;O;O;O
20;X;O;O;O;O;O;O;O;O;O
